SampleID,Date,SpeciesID,Density
Hess 5,9/4/2011,CHIP,23.2558
Hess 6,9/4/2011,CHIP,46.5116
Hess 1,11/6/2010,CHIL,901.1628
Hess 2,11/6/2010,CHIL,779.0698
Hess 3,11/6/2010,CHIL,773.2558
Hess 4,11/6/2010,CHIL,639.5349
Hess 5,11/6/2010,CHIL,569.7674
Hess 6,11/6/2010,CHIL,622.0930
Hess 1,1/21/2011,CHIL,5447.6744
Hess 2,1/21/2011,CHIL,4639.5349
Hess 3,1/21/2011,CHIL,1877.9070
Hess 4,1/21/2011,CHIL,3941.8605
Hess 5,1/21/2011,CHIL,651.1628
Hess 6,1/21/2011,CHIL,837.2093
Hess 1,6/9/2011,CHIL,215.1163
Hess 2,6/9/2011,CHIL,244.1860
Hess 3,6/9/2011,CHIL,302.3256
Hess 4,6/9/2011,CHIL,319.7674
Hess 5,6/9/2011,CHIL,81.3953
Hess 6,6/9/2011,CHIL,220.9302
Hess 1,9/4/2011,CHIL,703.4884
Hess 2,9/4/2011,CHIL,1046.5116
Hess 3,9/4/2011,CHIL,459.3023
Hess 4,9/4/2011,CHIL,1296.5116
Hess 5,9/4/2011,CHIL,226.7442
Hess 6,9/4/2011,CHIL,203.4884
Hess 1,11/6/2010,HEMR,0.0000
Hess 2,11/6/2010,HEMR,0.0000
Hess 3,11/6/2010,HEMR,0.0000
Hess 4,11/6/2010,HEMR,5.8140
Hess 5,11/6/2010,HEMR,5.8140
Hess 6,11/6/2010,HEMR,0.0000
Hess 1,1/21/2011,HEMR,5.8140
Hess 2,1/21/2011,HEMR,29.0698
Hess 3,1/21/2011,HEMR,29.0698
Hess 4,1/21/2011,HEMR,29.0698
Hess 5,1/21/2011,HEMR,17.4419
Hess 6,1/21/2011,HEMR,52.3256
Hess 1,6/9/2011,HEMR,5.8140
Hess 2,6/9/2011,HEMR,0.0000
Hess 3,6/9/2011,HEMR,0.0000
Hess 4,6/9/2011,HEMR,11.6279
Hess 5,6/9/2011,HEMR,0.0000
Hess 6,6/9/2011,HEMR,11.6279
Hess 1,9/4/2011,HEMR,17.4419
Hess 2,9/4/2011,HEMR,46.5116
Hess 3,9/4/2011,HEMR,11.6279
Hess 4,9/4/2011,HEMR,81.3953
Hess 5,9/4/2011,HEMR,5.8140
Hess 6,9/4/2011,HEMR,17.4419
Hess 1,11/6/2010,MARU,104.6512
Hess 2,11/6/2010,MARU,2837.2093
Hess 3,11/6/2010,MARU,901.1628
Hess 4,11/6/2010,MARU,75.5814
Hess 5,11/6/2010,MARU,52.3256
Hess 6,11/6/2010,MARU,1674.4186
Hess 1,1/21/2011,MARU,75.5814
Hess 2,1/21/2011,MARU,156.9767
Hess 3,1/21/2011,MARU,69.7674
Hess 4,1/21/2011,MARU,69.7674
Hess 5,1/21/2011,MARU,87.2093
Hess 6,1/21/2011,MARU,186.0465
Hess 1,6/9/2011,MARU,29.0698
Hess 2,6/9/2011,MARU,5.8140
Hess 3,6/9/2011,MARU,17.4419
Hess 4,6/9/2011,MARU,5.8140
Hess 5,6/9/2011,MARU,23.2558
Hess 6,6/9/2011,MARU,17.4419
Hess 1,9/4/2011,MARU,98.8372
Hess 2,9/4/2011,MARU,296.5116
Hess 3,9/4/2011,MARU,389.5349
Hess 4,9/4/2011,MARU,325.5814
Hess 5,9/4/2011,MARU,732.5581
Hess 6,9/4/2011,MARU,348.8372
Hess 1,11/6/2010,SIMP,0.0000
Hess 2,11/6/2010,SIMP,0.0000
Hess 3,11/6/2010,SIMP,11.6279
Hess 4,11/6/2010,SIMP,5.8140
Hess 5,11/6/2010,SIMP,5.8140
Hess 6,11/6/2010,SIMP,5.8140
Hess 1,1/21/2011,SIMP,29.0698
Hess 2,1/21/2011,SIMP,0.0000
Hess 3,1/21/2011,SIMP,0.0000
Hess 4,1/21/2011,SIMP,5.8140
Hess 5,1/21/2011,SIMP,5.8140
Hess 6,1/21/2011,SIMP,11.6279
Hess 1,6/9/2011,SIMP,11.6279
Hess 2,6/9/2011,SIMP,0.0000
Hess 3,6/9/2011,SIMP,5.8140
Hess 4,6/9/2011,SIMP,5.8140
Hess 5,6/9/2011,SIMP,40.6977
Hess 6,6/9/2011,SIMP,0.0000
Hess 1,9/4/2011,SIMP,0.0000
Hess 2,9/4/2011,SIMP,5.8140
Hess 3,9/4/2011,SIMP,0.0000
Hess 4,9/4/2011,SIMP,5.8140
Hess 5,9/4/2011,SIMP,0.0000
Hess 6,9/4/2011,SIMP,0.0000
Hess 1,11/6/2010,SIML,11.6279
Hess 2,11/6/2010,SIML,203.4884
Hess 3,11/6/2010,SIML,319.7674
Hess 4,11/6/2010,SIML,58.1395
Hess 5,11/6/2010,SIML,63.9535
Hess 6,11/6/2010,SIML,104.6512
Hess 1,1/21/2011,SIML,52.3256
Hess 2,1/21/2011,SIML,133.7209
Hess 3,1/21/2011,SIML,145.3488
Hess 4,1/21/2011,SIML,29.0698
Hess 5,1/21/2011,SIML,209.3023
Hess 6,1/21/2011,SIML,994.1860
Hess 1,6/9/2011,SIML,46.5116
Hess 2,6/9/2011,SIML,5.8140
Hess 3,6/9/2011,SIML,366.2791
Hess 4,6/9/2011,SIML,46.5116
Hess 5,6/9/2011,SIML,767.4419
Hess 6,6/9/2011,SIML,337.2093
Hess 1,9/4/2011,SIML,17.4419
Hess 2,9/4/2011,SIML,93.0233
Hess 3,9/4/2011,SIML,29.0698
Hess 4,9/4/2011,SIML,0.0000
Hess 5,9/4/2011,SIML,23.2558
Hess 6,9/4/2011,SIML,87.2093
Hess 1,11/6/2010,TABS,63.9535
Hess 2,11/6/2010,TABS,87.2093
Hess 3,11/6/2010,TABS,104.6512
Hess 4,11/6/2010,TABS,110.4651
Hess 5,11/6/2010,TABS,34.8837
Hess 6,11/6/2010,TABS,52.3256
Hess 1,1/21/2011,TABS,220.9302
Hess 2,1/21/2011,TABS,127.9070
Hess 3,1/21/2011,TABS,127.9070
Hess 4,1/21/2011,TABS,69.7674
Hess 5,1/21/2011,TABS,17.4419
Hess 6,1/21/2011,TABS,145.3488
Hess 1,6/9/2011,TABS,40.6977
Hess 2,6/9/2011,TABS,11.6279
Hess 3,6/9/2011,TABS,93.0233
Hess 4,6/9/2011,TABS,17.4419
Hess 5,6/9/2011,TABS,5.8140
Hess 6,6/9/2011,TABS,5.8140
Hess 1,9/4/2011,TABS,46.5116
Hess 2,9/4/2011,TABS,34.8837
Hess 3,9/4/2011,TABS,23.2558
Hess 4,9/4/2011,TABS,122.0930
Hess 5,9/4/2011,TABS,29.0698
Hess 6,9/4/2011,TABS,29.0698
Hess 1,11/6/2010,TIPL,0.0000
Hess 2,11/6/2010,TIPL,0.0000
Hess 3,11/6/2010,TIPL,0.0000
Hess 4,11/6/2010,TIPL,0.0000
Hess 5,11/6/2010,TIPL,0.0000
Hess 6,11/6/2010,TIPL,0.0000
Hess 1,1/21/2011,TIPL,0.0000
Hess 2,1/21/2011,TIPL,0.0000
Hess 3,1/21/2011,TIPL,5.8140
Hess 4,1/21/2011,TIPL,5.8140
Hess 5,1/21/2011,TIPL,0.0000
Hess 6,1/21/2011,TIPL,0.0000
Hess 1,6/9/2011,TIPL,0.0000
Hess 2,6/9/2011,TIPL,5.8140
Hess 3,6/9/2011,TIPL,11.6279
Hess 4,6/9/2011,TIPL,0.0000
Hess 5,6/9/2011,TIPL,5.8140
Hess 6,6/9/2011,TIPL,0.0000
Hess 1,9/4/2011,TIPL,0.0000
Hess 2,9/4/2011,TIPL,0.0000
Hess 3,9/4/2011,TIPL,0.0000
Hess 4,9/4/2011,TIPL,0.0000
Hess 5,9/4/2011,TIPL,0.0000
Hess 6,9/4/2011,TIPL,0.0000
Hess 1,11/6/2010,PETL,616.2791
Hess 2,11/6/2010,PETL,372.0930
Hess 3,11/6/2010,PETL,372.0930
Hess 4,11/6/2010,PETL,767.4419
Hess 5,11/6/2010,PETL,325.5814
Hess 6,11/6/2010,PETL,238.3721
Hess 1,1/21/2011,PETL,290.6977
Hess 2,1/21/2011,PETL,523.2558
Hess 3,1/21/2011,PETL,191.8605
Hess 4,1/21/2011,PETL,767.4419
Hess 5,1/21/2011,PETL,156.9767
Hess 6,1/21/2011,PETL,186.0465
Hess 1,6/9/2011,PETL,0.0000
Hess 2,6/9/2011,PETL,0.0000
Hess 3,6/9/2011,PETL,0.0000
Hess 4,6/9/2011,PETL,5.8140
Hess 5,6/9/2011,PETL,0.0000
Hess 6,6/9/2011,PETL,0.0000
Hess 1,9/4/2011,PETL,988.3721
Hess 2,9/4/2011,PETL,773.2558
Hess 3,9/4/2011,PETL,226.7442
Hess 4,9/4/2011,PETL,587.2093
Hess 5,9/4/2011,PETL,5.8140
Hess 6,9/4/2011,PETL,87.2093
Hess 1,11/6/2010,MEGL,0.0000
Hess 2,11/6/2010,MEGL,11.6279
Hess 3,11/6/2010,MEGL,0.0000
Hess 4,11/6/2010,MEGL,0.0000
Hess 5,11/6/2010,MEGL,23.2558
Hess 6,11/6/2010,MEGL,5.8140
Hess 1,1/21/2011,MEGL,0.0000
Hess 2,1/21/2011,MEGL,0.0000
Hess 3,1/21/2011,MEGL,0.0000
Hess 4,1/21/2011,MEGL,5.8140
Hess 5,1/21/2011,MEGL,17.4419
Hess 6,1/21/2011,MEGL,5.8140
Hess 1,6/9/2011,MEGL,0.0000
Hess 2,6/9/2011,MEGL,17.4419
Hess 3,6/9/2011,MEGL,34.8837
Hess 4,6/9/2011,MEGL,0.0000
Hess 5,6/9/2011,MEGL,5.8140
Hess 6,6/9/2011,MEGL,23.2558
Hess 1,9/4/2011,MEGL,11.6279
Hess 2,9/4/2011,MEGL,17.4419
Hess 3,9/4/2011,MEGL,5.8140
Hess 4,9/4/2011,MEGL,23.2558
Hess 5,9/4/2011,MEGL,5.8140
Hess 6,9/4/2011,MEGL,11.6279
Hess 1,11/6/2010,ACLA,98.8372
Hess 2,11/6/2010,ACLA,3372.0930
Hess 3,11/6/2010,ACLA,145.3488
Hess 4,11/6/2010,ACLA,52.3256
Hess 5,11/6/2010,ACLA,3802.3256
Hess 6,11/6/2010,ACLA,180.2326
Hess 1,1/21/2011,ACLA,81.3953
Hess 2,1/21/2011,ACLA,2354.6512
Hess 3,1/21/2011,ACLA,441.8605
Hess 4,1/21/2011,ACLA,302.3256
Hess 5,1/21/2011,ACLA,965.1163
Hess 6,1/21/2011,ACLA,2540.6977
Hess 1,6/9/2011,ACLA,34.8837
Hess 2,6/9/2011,ACLA,11.6279
Hess 3,6/9/2011,ACLA,63.9535
Hess 4,6/9/2011,ACLA,0.0000
Hess 5,6/9/2011,ACLA,17.4419
Hess 6,6/9/2011,ACLA,46.5116
Hess 1,9/4/2011,ACLA,168.6047
Hess 2,9/4/2011,ACLA,552.3256
Hess 3,9/4/2011,ACLA,662.7907
Hess 4,9/4/2011,ACLA,139.5349
Hess 5,9/4/2011,ACLA,203.4884
Hess 6,9/4/2011,ACLA,534.8837
Hess 1,11/6/2010,BAEL,81.3953
Hess 2,11/6/2010,BAEL,209.3023
Hess 3,11/6/2010,BAEL,116.2791
Hess 4,11/6/2010,BAEL,87.2093
Hess 5,11/6/2010,BAEL,203.4884
Hess 6,11/6/2010,BAEL,110.4651
Hess 1,1/21/2011,BAEL,645.3488
Hess 2,1/21/2011,BAEL,1302.3256
Hess 3,1/21/2011,BAEL,482.5581
Hess 4,1/21/2011,BAEL,575.5814
Hess 5,1/21/2011,BAEL,563.9535
Hess 6,1/21/2011,BAEL,1215.1163
Hess 1,6/9/2011,BAEL,2616.2791
Hess 2,6/9/2011,BAEL,796.5116
Hess 3,6/9/2011,BAEL,2488.3721
Hess 4,6/9/2011,BAEL,1104.6512
Hess 5,6/9/2011,BAEL,1005.8140
Hess 6,6/9/2011,BAEL,2901.1628
Hess 1,9/4/2011,BAEL,947.6744
Hess 2,9/4/2011,BAEL,1250.0000
Hess 3,9/4/2011,BAEL,1011.6279
Hess 4,9/4/2011,BAEL,1610.4651
Hess 5,9/4/2011,BAEL,552.3256
Hess 6,9/4/2011,BAEL,825.5814
Hess 1,11/6/2010,ARGI,17.4419
Hess 2,11/6/2010,ARGI,17.4419
Hess 3,11/6/2010,ARGI,17.4419
Hess 4,11/6/2010,ARGI,23.2558
Hess 5,11/6/2010,ARGI,11.6279
Hess 6,11/6/2010,ARGI,17.4419
Hess 1,1/21/2011,ARGI,5.8140
Hess 2,1/21/2011,ARGI,5.8140
Hess 3,1/21/2011,ARGI,0.0000
Hess 4,1/21/2011,ARGI,40.6977
Hess 5,1/21/2011,ARGI,17.4419
Hess 6,1/21/2011,ARGI,11.6279
Hess 1,6/9/2011,ARGI,11.6279
Hess 2,6/9/2011,ARGI,0.0000
Hess 3,6/9/2011,ARGI,0.0000
Hess 4,6/9/2011,ARGI,0.0000
Hess 5,6/9/2011,ARGI,0.0000
Hess 6,6/9/2011,ARGI,11.6279
Hess 1,9/4/2011,ARGI,5.8140
Hess 2,9/4/2011,ARGI,40.6977
Hess 3,9/4/2011,ARGI,5.8140
Hess 4,9/4/2011,ARGI,11.6279
Hess 5,9/4/2011,ARGI,0.0000
Hess 6,9/4/2011,ARGI,5.8140
Hess 1,11/6/2010,CHIM,0.0000
Hess 2,11/6/2010,CHIM,331.3953
Hess 3,11/6/2010,CHIM,52.3256
Hess 4,11/6/2010,CHIM,151.1628
Hess 5,11/6/2010,CHIM,220.9302
Hess 6,11/6/2010,CHIM,180.2326
Hess 1,1/21/2011,CHIM,593.0233
Hess 2,1/21/2011,CHIM,63.9535
Hess 3,1/21/2011,CHIM,180.2326
Hess 4,1/21/2011,CHIM,87.2093
Hess 5,1/21/2011,CHIM,110.4651
Hess 6,1/21/2011,CHIM,889.5349
Hess 1,6/9/2011,CHIM,52.3256
Hess 2,6/9/2011,CHIM,17.4419
Hess 3,6/9/2011,CHIM,46.5116
Hess 4,6/9/2011,CHIM,29.0698
Hess 5,6/9/2011,CHIM,23.2558
Hess 6,6/9/2011,CHIM,29.0698
Hess 1,9/4/2011,CHIM,29.0698
Hess 2,9/4/2011,CHIM,174.4186
Hess 3,9/4/2011,CHIM,279.0698
Hess 4,9/4/2011,CHIM,546.5116
Hess 5,9/4/2011,CHIM,686.0465
Hess 6,9/4/2011,CHIM,209.3023
Hess 1,11/6/2010,HELI,2633.7209
Hess 2,11/6/2010,HELI,976.7442
Hess 3,11/6/2010,HELI,255.8140
Hess 4,11/6/2010,HELI,2930.2326
Hess 5,11/6/2010,HELI,110.4651
Hess 6,11/6/2010,HELI,511.6279
Hess 1,1/21/2011,HELI,4226.7442
Hess 2,1/21/2011,HELI,1412.7907
Hess 3,1/21/2011,HELI,296.5116
Hess 4,1/21/2011,HELI,1331.3953
Hess 5,1/21/2011,HELI,81.3953
Hess 6,1/21/2011,HELI,1081.3953
Hess 1,6/9/2011,HELI,412.7907
Hess 2,6/9/2011,HELI,75.5814
Hess 3,6/9/2011,HELI,145.3488
Hess 4,6/9/2011,HELI,151.1628
Hess 5,6/9/2011,HELI,52.3256
Hess 6,6/9/2011,HELI,191.8605
Hess 1,9/4/2011,HELI,325.5814
Hess 2,9/4/2011,HELI,482.5581
Hess 3,9/4/2011,HELI,52.3256
Hess 4,9/4/2011,HELI,1505.8140
Hess 5,9/4/2011,HELI,58.1395
Hess 6,9/4/2011,HELI,98.8372
Hess 1,11/6/2010,HYDE,81.3953
Hess 2,11/6/2010,HYDE,430.2326
Hess 3,11/6/2010,HYDE,110.4651
Hess 4,11/6/2010,HYDE,69.7674
Hess 5,11/6/2010,HYDE,319.7674
Hess 6,11/6/2010,HYDE,139.5349
Hess 1,1/21/2011,HYDE,104.6512
Hess 2,1/21/2011,HYDE,343.0233
Hess 3,1/21/2011,HYDE,104.6512
Hess 4,1/21/2011,HYDE,203.4884
Hess 5,1/21/2011,HYDE,98.8372
Hess 6,1/21/2011,HYDE,593.0233
Hess 1,6/9/2011,HYDE,127.9070
Hess 2,6/9/2011,HYDE,23.2558
Hess 3,6/9/2011,HYDE,180.2326
Hess 4,6/9/2011,HYDE,34.8837
Hess 5,6/9/2011,HYDE,23.2558
Hess 6,6/9/2011,HYDE,81.3953
Hess 1,9/4/2011,HYDE,17.4419
Hess 2,9/4/2011,HYDE,75.5814
Hess 3,9/4/2011,HYDE,87.2093
Hess 4,9/4/2011,HYDE,17.4419
Hess 5,9/4/2011,HYDE,52.3256
Hess 6,9/4/2011,HYDE,52.3256
Hess 1,11/6/2010,LETR,808.1395
Hess 2,11/6/2010,LETR,302.3256
Hess 3,11/6/2010,LETR,284.8837
Hess 4,11/6/2010,LETR,151.1628
Hess 5,11/6/2010,LETR,389.5349
Hess 6,11/6/2010,LETR,122.0930
Hess 1,1/21/2011,LETR,63.9535
Hess 2,1/21/2011,LETR,29.0698
Hess 3,1/21/2011,LETR,104.6512
Hess 4,1/21/2011,LETR,854.6512
Hess 5,1/21/2011,LETR,34.8837
Hess 6,1/21/2011,LETR,46.5116
Hess 1,6/9/2011,LETR,0.0000
Hess 2,6/9/2011,LETR,0.0000
Hess 3,6/9/2011,LETR,0.0000
Hess 4,6/9/2011,LETR,0.0000
Hess 5,6/9/2011,LETR,0.0000
Hess 6,6/9/2011,LETR,0.0000
Hess 1,9/4/2011,LETR,197.6744
Hess 2,9/4/2011,LETR,168.6047
Hess 3,9/4/2011,LETR,296.5116
Hess 4,9/4/2011,LETR,296.5116
Hess 5,9/4/2011,LETR,17.4419
Hess 6,9/4/2011,LETR,58.1395
Hess 1,11/6/2010,OCHR,5.8140
Hess 2,11/6/2010,OCHR,52.3256
Hess 3,11/6/2010,OCHR,11.6279
Hess 4,11/6/2010,OCHR,23.2558
Hess 5,11/6/2010,OCHR,5.8140
Hess 6,11/6/2010,OCHR,0.0000
Hess 1,1/21/2011,OCHR,17.4419
Hess 2,1/21/2011,OCHR,40.6977
Hess 3,1/21/2011,OCHR,17.4419
Hess 4,1/21/2011,OCHR,40.6977
Hess 5,1/21/2011,OCHR,0.0000
Hess 6,1/21/2011,OCHR,29.0698
Hess 1,6/9/2011,OCHR,0.0000
Hess 2,6/9/2011,OCHR,5.8140
Hess 3,6/9/2011,OCHR,5.8140
Hess 4,6/9/2011,OCHR,11.6279
Hess 5,6/9/2011,OCHR,5.8140
Hess 6,6/9/2011,OCHR,0.0000
Hess 1,9/4/2011,OCHR,23.2558
Hess 2,9/4/2011,OCHR,40.6977
Hess 3,9/4/2011,OCHR,34.8837
Hess 4,9/4/2011,OCHR,34.8837
Hess 5,9/4/2011,OCHR,11.6279
Hess 6,9/4/2011,OCHR,29.0698
Hess 1,11/6/2010,RHYL,11.6279
Hess 2,11/6/2010,RHYL,5.8140
Hess 3,11/6/2010,RHYL,0.0000
Hess 4,11/6/2010,RHYL,0.0000
Hess 5,11/6/2010,RHYL,52.3256
Hess 6,11/6/2010,RHYL,11.6279
Hess 1,1/21/2011,RHYL,0.0000
Hess 2,1/21/2011,RHYL,17.4419
Hess 3,1/21/2011,RHYL,5.8140
Hess 4,1/21/2011,RHYL,5.8140
Hess 5,1/21/2011,RHYL,11.6279
Hess 6,1/21/2011,RHYL,29.0698
Hess 1,6/9/2011,RHYL,0.0000
Hess 2,6/9/2011,RHYL,0.0000
Hess 3,6/9/2011,RHYL,29.0698
Hess 4,6/9/2011,RHYL,0.0000
Hess 5,6/9/2011,RHYL,5.8140
Hess 6,6/9/2011,RHYL,11.6279
Hess 1,9/4/2011,RHYL,0.0000
Hess 2,9/4/2011,RHYL,0.0000
Hess 3,9/4/2011,RHYL,17.4419
Hess 4,9/4/2011,RHYL,11.6279
Hess 5,9/4/2011,RHYL,0.0000
Hess 6,9/4/2011,RHYL,29.0698
Hess 1,11/6/2010,TRIA,5.8140
Hess 2,11/6/2010,TRIA,93.0233
Hess 3,11/6/2010,TRIA,0.0000
Hess 4,11/6/2010,TRIA,0.0000
Hess 5,11/6/2010,TRIA,0.0000
Hess 6,11/6/2010,TRIA,0.0000
Hess 1,1/21/2011,TRIA,0.0000
Hess 2,1/21/2011,TRIA,0.0000
Hess 3,1/21/2011,TRIA,0.0000
Hess 4,1/21/2011,TRIA,0.0000
Hess 5,1/21/2011,TRIA,0.0000
Hess 6,1/21/2011,TRIA,0.0000
Hess 1,6/9/2011,TRIA,0.0000
Hess 2,6/9/2011,TRIA,0.0000
Hess 3,6/9/2011,TRIA,0.0000
Hess 4,6/9/2011,TRIA,0.0000
Hess 5,6/9/2011,TRIA,0.0000
Hess 6,6/9/2011,TRIA,0.0000
Hess 1,9/4/2011,TRIA,0.0000
Hess 2,9/4/2011,TRIA,0.0000
Hess 3,9/4/2011,TRIA,0.0000
Hess 4,9/4/2011,TRIA,17.4419
Hess 5,9/4/2011,TRIA,0.0000
Hess 6,9/4/2011,TRIA,0.0000
Hess 1,11/6/2010,TRIP,0.0000
Hess 2,11/6/2010,TRIP,0.0000
Hess 3,11/6/2010,TRIP,0.0000
Hess 4,11/6/2010,TRIP,0.0000
Hess 5,11/6/2010,TRIP,0.0000
Hess 6,11/6/2010,TRIP,0.0000
Hess 1,1/21/2011,TRIP,0.0000
Hess 2,1/21/2011,TRIP,0.0000
Hess 3,1/21/2011,TRIP,5.8140
Hess 4,1/21/2011,TRIP,0.0000
Hess 5,1/21/2011,TRIP,5.8140
Hess 6,1/21/2011,TRIP,0.0000
Hess 1,6/9/2011,TRIP,17.4419
Hess 2,6/9/2011,TRIP,17.4419
Hess 3,6/9/2011,TRIP,23.2558
Hess 4,6/9/2011,TRIP,5.8140
Hess 5,6/9/2011,TRIP,0.0000
Hess 6,6/9/2011,TRIP,23.2558
Hess 1,9/4/2011,TRIP,0.0000
Hess 2,9/4/2011,TRIP,5.8140
Hess 3,9/4/2011,TRIP,5.8140
Hess 4,9/4/2011,TRIP,11.6279
Hess 5,9/4/2011,TRIP,11.6279
Hess 6,9/4/2011,TRIP,0.0000
Hess 1,11/6/2010,HETA,11.6279
Hess 2,11/6/2010,HETA,17.4419
Hess 3,11/6/2010,HETA,0.0000
Hess 4,11/6/2010,HETA,40.6977
Hess 5,11/6/2010,HETA,5.8140
Hess 6,11/6/2010,HETA,17.4419
Hess 1,1/21/2011,HETA,11.6279
Hess 2,1/21/2011,HETA,11.6279
Hess 3,1/21/2011,HETA,0.0000
Hess 4,1/21/2011,HETA,5.8140
Hess 5,1/21/2011,HETA,0.0000
Hess 6,1/21/2011,HETA,5.8140
Hess 1,6/9/2011,HETA,0.0000
